symbol,date,open,high,low,close,volume
MSFT,2025-05-12,445.94,449.37,439.78,449.26,22821935
MSFT,2025-05-13,447.78,450.6733,445.36,449.14,23618819
MSFT,2025-05-14,448.14,453.9,448.14,452.94,19902796
MSFT,2025-05-15,450.765,456.19,450.4301,453.13,21992323
MSFT,2025-05-16,452.05,454.36,448.73,454.27,23849781
MSFT,2025-05-19,450.875,459.585,450.8,458.87,21336509
MSFT,2025-05-20,455.59,458.34,454.3201,458.17,15441808
MSFT,2025-05-21,454.57,457.78,451.814,452.57,19216906
MSFT,2025-05-22,454.95,460.25,453.9,454.86,18025612
MSFT,2025-05-23,449.98,453.69,448.91,450.18,16883509
MSFT,2025-05-27,456.48,460.95,456.115,460.69,20974293
MSFT,2025-05-28,461.22,462.52,456.93,457.36,17086261
MSFT,2025-05-29,461.55,461.72,455.3105,458.68,13982211
MSFT,2025-05-30,459.715,461.68,455.54,460.36,34770475
MSFT,2025-06-02,457.14,462.11,456.89,461.97,16626495
MSFT,2025-06-03,461.47,464.14,460.8622,462.97,15743760
MSFT,2025-06-04,464.0,465.69,463.0201,463.87,14162688
MSFT,2025-06-05,464.955,469.65,464.03,467.68,20154460
MSFT,2025-06-06,470.085,473.335,468.78,470.38,15285624
MSFT,2025-06-09,469.7,473.43,468.62,472.75,16469932
MSFT,2025-06-10,471.185,472.8,466.96,470.92,15375944
MSFT,2025-06-11,470.02,475.47,469.655,472.62,16399176
MSFT,2025-06-12,475.02,480.415,473.52,478.87,18950582
MSFT,2025-06-13,476.41,479.18,472.76,474.96,16814456
MSFT,2025-06-16,475.21,480.6943,475.0,479.14,15626104
MSFT,2025-06-17,475.395,478.7399,474.08,478.04,15414128
MSFT,2025-06-18,478.0,481.0,474.46,480.24,17526452
MSFT,2025-06-20,482.23,483.46,476.87,477.4,37576206
MSFT,2025-06-23,478.21,487.75,472.51,486.0,24863952
MSFT,2025-06-24,488.95,491.849,486.795,490.11,22305642
