symbol,date,open,high,low,close,volume
META,2025-07-14,717.6,728.0,716.547,720.92,8939399
META,2025-07-15,723.9,724.4716,709.82,710.39,11529511
META,2025-07-16,713.37,713.97,699.2701,702.91,13067627
META,2025-07-17,704.39,705.9,697.105,701.41,11803264
META,2025-07-18,702.19,704.71,691.65,704.28,12779752
META,2025-07-21,706.8,717.0,705.76,712.965,9404391
META,2025-07-22,716.19,716.6,701.41,704.81,8921064
META,2025-07-23,706.365,714.6285,704.93,713.58,8771615
META,2025-07-24,717.05,723.6239,714.0,714.8,10920836
META,2025-07-25,716.915,720.6499,711.9,712.68,8271698
META,2025-07-28,715.2,724.7352,712.68,717.63,8715743
META,2025-07-29,720.0,724.47,699.91,700.0,13267032
META,2025-07-30,708.09,708.5,691.2001,695.21,27077286
META,2025-07-31,775.2,784.75,765.51,773.44,38831098
META,2025-08-01,760.73,765.9999,745.31,750.01,19028710
META,2025-08-04,760.0,776.85,758.41,776.37,15801727
META,2025-08-05,776.445,783.1299,763.0,763.46,11640294
META,2025-08-06,770.0,773.64,760.4601,771.99,9733910
META,2025-08-07,773.49,775.0,759.55,761.83,9019691
META,2025-08-08,762.75,769.9,758.58,769.3,7320755
META,2025-08-11,770.075,773.4584,764.67,765.87,7611964
META,2025-08-12,773.0,793.67,772.43,790.0,14579765
META,2025-08-13,791.15,795.4561,778.23,780.08,8811750
META,2025-08-14,777.88,787.81,772.51,782.13,8116193
META,2025-08-15,784.15,796.25,780.82,785.23,13375361
META,2025-08-18,775.085,775.81,756.5601,767.37,16513737
META,2025-08-19,767.12,767.17,749.36,751.48,12286690
META,2025-08-20,747.57,750.1999,731.0,747.72,11898190
META,2025-08-21,744.705,745.5,733.1101,739.1,8876307
META,2025-08-22,739.23,756.9,734.39,754.79,10612667
META,2025-08-25,754.82,758.88,750.13,753.3,6861158
META,2025-08-26,750.8,754.87,747.94,754.1,7601800
META,2025-08-27,752.3,754.1499,742.84,747.38,8315435
META,2025-08-28,744.0,753.0548,740.795,751.11,7467955
META,2025-08-29,745.28,747.14,735.3466,738.7,9070546
META,2025-09-02,726.04,736.0,721.7306,735.11,9350857
META,2025-09-03,736.0,740.25,733.9893,737.05,7650495
META,2025-09-04,748.57,761.16,745.82,748.65,11439078
META,2025-09-05,752.615,757.95,745.03,752.45,9663441
META,2025-09-08,755.995,766.51,752.02,752.3,13087816
META,2025-09-09,757.49,766.3,753.43,765.7,10999026
META,2025-09-10,765.13,765.7,751.0,751.98,12478276
META,2025-09-11,754.65,757.1,748.37,750.9,7923284
META,2025-09-12,748.725,757.5703,743.76,755.59,8248557
META,2025-09-15,757.47,774.07,751.985,764.7,10533780
META,2025-09-16,767.0,781.36,765.1,779.0,11782482
META,2025-09-17,779.99,783.29,766.31,775.715,9400867
META,2025-09-18,780.75,788.78,773.36,780.25,10954950
META,2025-09-19,786.42,790.8,769.1901,778.38,23696824
META,2025-09-22,781.845,785.73,764.47,765.16,11706946
META,2025-09-23,769.25,770.6,751.07,755.4,10872592
META,2025-09-24,757.5,761.11,752.5251,760.66,8828227
META,2025-09-25,753.45,756.765,744.55,748.91,10591065
META,2025-09-26,750.0,751.9299,737.3532,743.75,9696338
META,2025-09-29,748.72,750.78,739.15,743.4,9246768
META,2025-09-30,742.25,742.97,726.3,734.38,16226750
META,2025-10-01,721.49,721.8499,710.2,717.34,20419633
META,2025-10-02,722.58,727.77,718.14,727.05,11350829
